channel_name,date,cost,ihc,ihc_revenue,CPO,ROAS
Affiliate & Partnerships,2023-08-29,11.795,0.0,0.0,,0.0
Direct Traffic,2023-08-29,0.0,2.1799,87.245037,0.0,
FB & IG Ads,2023-08-29,13.248,0.8966,50.095194,14.775819763551194,3.7813401268115943
Newsletter & Email,2023-08-29,0.0,0.2984,28.465986,0.0,
Organic Traffic,2023-08-29,0.0,0.4387,35.581078,0.0,
Paid Search Brand,2023-08-29,6.863,0.9395,64.48566100000001,7.304949441192124,9.39613303220166
Paid Search Non Brand,2023-08-29,5.893,0.0792,7.444800000000001,74.40656565656565,1.2633293738333617
Performance Max,2023-08-29,13.952,0.5055,52.803462,27.600395647873395,3.784651806192661
Referral,2023-08-29,0.0,0.0,0.0,,
Social Organic,2023-08-29,0.0,0.0,0.0,,
Untracked Conversions,2023-08-29,0.0,0.0,0.0,,
Affiliate & Partnerships,2023-08-30,3.756,0.0,0.0,,0.0
Direct Traffic,2023-08-30,0.0,3.0072,204.55638,0.0,
FB & IG Ads,2023-08-30,3.349,0.1463,11.408474000000002,22.89131920710868,3.4065315019408784
Newsletter & Email,2023-08-30,0.0,0.3556,37.044520000000006,0.0,
Organic Traffic,2023-08-30,0.0,0.3258,24.515244,0.0,
Paid Search Brand,2023-08-30,4.982,1.4602,108.91403,3.4118613888508427,21.86150742673625
Paid Search Non Brand,2023-08-30,0.633,0.0,0.0,,0.0
Performance Max,2023-08-30,14.163,1.6774,92.793638,8.443424347204006,6.551834921979807
Affiliate & Partnerships,2023-08-31,5.4639999999999995,0.1027,4.151134,53.20350535540408,0.7597243777452416
Direct Traffic,2023-08-31,0.0,6.8867,324.828123,0.0,
FB & IG Ads,2023-08-31,16.56,1.2644,18.558546,13.097121164188547,1.1206851449275363
Microsoft Ads,2023-08-31,0.065,0.3556,8.065008,0.1827896512935883,124.07704615384615
Newsletter & Email,2023-08-31,0.0,9.874,899.818582,0.0,
Organic Traffic,2023-08-31,0.0,1.5270000000000001,96.942766,0.0,
Paid Search Brand,2023-08-31,6.513,2.9599,223.700791,2.20041217608703,34.34681268232765
Paid Search Non Brand,2023-08-31,5.495,0.6769999999999999,17.78407,8.116691285081242,3.2364094631483167
Performance Max,2023-08-31,19.665,3.7375,135.759787,5.2615384615384615,6.90362506992118
Referral,2023-08-31,0.0,0.6097,37.236042000000005,0.0,
Affiliate & Partnerships,2023-09-01,24.72,8.3276,418.834899,2.968442288294346,16.943159344660195
Direct Traffic,2023-09-01,0.0,66.9286,4262.391439,0.0,
FB & IG Ads,2023-09-01,77.464,26.124200000000002,1020.985007,2.965219987597706,13.180122469792419
Newsletter & Email,2023-09-01,0.0,42.9452,2532.336864,0.0,
Organic Traffic,2023-09-01,0.0,12.5353,666.540096,0.0,
Paid Search Brand,2023-09-01,30.625,36.2474,1967.5139570000001,0.8448881850836198,64.24535369795919
Paid Search Non Brand,2023-09-01,10.702,2.2899000000000003,126.41422700000001,4.673566531289575,11.81220584937395
Performance Max,2023-09-01,92.909,49.1672,2043.161544,1.889654078328642,21.990997040114518
Referral,2023-09-01,0.0,3.9965,452.899342,0.0,
Social Organic,2023-09-01,0.0,0.7535000000000001,10.63942,0.0,
TikTok Ads,2023-09-01,9.947,2.4792,23.626608,4.0121813488222005,2.3752496230019102
